,Brand,Price,Rating,Modelname,Auto,Load,Energyrating,WashingcapacityInKg,Washingmethod,MaximumspinspeedInRPM,In-builtheater,Color,Shade,Waterlevelselector
387,LG,10990.0,4.4,P7010RRAA,Semi,Top,4.975,7.0,Pulsator,1350,No,"Maroon, White",Burgundy,Yes
388,Voltas Beko,11990.0,3.6,WTT85DGRT,Semi,Top,5.0,8.5,Special Pulsator,1300,No,"White, Grey",Grey,No
389,SAMSUNG,20970.0,4.4,WA65N4260FF/TL,Fully,Top,4.975,6.5,Automatic Wash,700,No,Purple,Plum,No
390,LG,39990.0,4.3,FHT1207ZNS,Fully,Front,5.0,7.0,Tumble,1200,Yes,Silver,STAINLESS SILVER,Yes
391,LG,15990.0,4.5,P1045SGAZ,Semi,Top,5.0,10.0,Pulsator,1350,No,"Grey, White",Dark Grey,Yes
392,Whirlpool,23390.0,4.4,360 degree BLOOMWASH PRO 7.5 10YMW,Fully,Top,4.975,7.5,Hexa Bloom Impeller Wash,740,No,Grey,Graphite,No
393,BOSCH,34700.0,3.3,WOA126X1IN,Fully,Top,4.975,12.0,Pulsator,680,No,Silver,Silver Inox,No
394,Godrej,22490.0,4.2,WF Eon 700 PAE,Fully,Front,4.975,7.0,Tumble Wash,800,Yes,White,White,No
395,LG,63990.0,4.1,THD18STB,Fully,Top,4.975,18.0,Pulsator,780,Yes,Black,Black Stainless silver,Yes
396,DMR,5499.0,3.8,Mini Washing Machine with Steel Dryer Basket Semi AutomaticDMR 46-1218,Washer,Dryer,4.975,4.6,Pulsator,300,No,Blue,Blue,No
397,Godrej,18490.0,4.2,WT EON Allure 650 PANMP,Fully,Top,4.975,6.5,Aquajet Pulsator Wash,700,No,Blue,Indigo Blue,No
398,BOSCH,20069.0,3.5,WOE704Y2IN,Fully,Top,4.975,7.0,Pulsator,680,No,"Grey, Silver",Grey,No
399,LG,26990.0,4.4,FHM1065ZDL.ALSQEIL,Fully,Front,5.0,6.5,Tumble,1000,Yes,Silver,Silver,Yes
400,IFB,33990.0,4.4,Elite Aqua SX,Fully,Front,4.975,7.0,Tumble Wash,1200,Yes,Silver,Silver,No
401,LG,25190.0,4.5,T8077NEDLK,Fully,Top,4.975,7.0,Punch + 3 Pulsator Wash,780,No,Black,Black Knight / Black,No
402,Whirlpool,18490.0,4.3,WHITEMAGIC ELITE 7.5 WINE 10YMW,Fully,Top,5.0,7.5,Agipellar Wash,740,No,Maroon,wine (L3),Yes
403,LG,13490.0,4.5,P8030SRAZ,Semi,Top,5.0,8.0,Pulsator,800,No,"White, Maroon",Burgundy,No
404,IFB,27390.0,4.2,NEODIVA-SX,Fully,Front,5.0,6.0,Tumble,800,Yes,Silver,Silver,No
405,Midea,36990.0,4.3,MWMFL085COM,Washer,Dryer,4.975,8.5,Tumble,1400,Yes,White,White,Yes
406,Voltas Beko,9990.0,3.6,WTT70DBRT,Semi,Top,5.0,7.0,Special Pulsator,1450,No,"Red, White","WHITE, BURGUNDY",Yes
407,LG,29990.0,4.4,FHM1207ADL,Fully,Front,5.0,7.0,Tumble,1200,Yes,Silver,Silver,Yes
408,Panasonic,23990.0,4.1,NA-127XB1W01,Fully,Front,4.975,7.0,Tumble Wash,1200,Yes,White,White,No
409,IFB,32199.0,4.3,Senorita WX,Fully,Front,5.0,6.5,Tumble Wash,1000,Yes,White,White,Yes
410,TOSHIBA,25499.0,5.0,AW-DJ900D-IND,Fully,Top,5.0,8.0,Pulsator,700,No,Grey,Premium Silver,Yes
411,LG,10990.0,4.4,P7010RRAA,Semi,Top,4.975,7.0,Pulsator,1350,No,"Maroon, White",Burgundy,Yes
412,LG,25190.0,4.4,T8081NEDLJ,Fully,Top,4.975,7.0,Punch + 3 Pulsator Wash,740,No,Silver,Middle Free Silver,No
413,SAMSUNG,15900.0,4.2,WA65A4022FS,Fully,Top,4.975,6.5,Pulsator,680,No,Silver,Silver,No
414,DMR,4899.0,2.0,D M R 30-1208 Black,Washer,Dryer,4.975,3.0,Pulsator,1350,No,Black,Black,No
415,LG,15990.0,4.5,P1045SGAZ,Semi,Top,5.0,10.0,Pulsator,1350,No,"Grey, White",Dark Grey,Yes
