,Brand,Price,Rating,Modelname,Auto,Load,Energyrating,WashingcapacityInKg,Washingmethod,MaximumspinspeedInRPM,In-builtheater,Color,Shade,Waterlevelselector
56,Whirlpool,16990.0,4.5,ACE XL 10.5 Silver Grey Dazzle (10YR),Semi,Top,5.0,10.5,Impellar,1400,No,"Black, Grey",Silver Grey Dazzle,No
57,IFB,36549.0,4.3,Senator Plus SX,Fully,Front,5.0,8.0,Tumble,1400,Yes,Silver,Silver,No
58,Thomson,7490.0,4.2,SA97000,Semi,Top,4.975,7.0,Pulsator,1400,No,"White, Blue, Grey",Blue,No
59,LG,13490.0,4.5,P8030SRAZ,Semi,Top,5.0,8.0,Pulsator,800,No,"White, Maroon",Burgundy,No
60,ONIDA,9790.0,4.2,T55CGN,Fully,Top,5.0,5.5,Pulsator,750,No,Grey,Grey,No
61,Panasonic,16490.0,4.3,NA-F70LF1HRB,Fully,Top,5.0,7.0,Pulastor,680,No,Grey,Grey,No
62,Thomson,24990.0,4.4,Q10 Ultra Series,Fully,Front,5.0,10.5,Tumble,1200,Yes,White,White,Yes
63,LG,63990.0,4.1,THD18STB,Fully,Top,4.975,18.0,Pulsator,780,Yes,Black,Black Stainless silver,Yes
64,ONIDA,9790.0,4.3,S80SBXG,Semi,Top,5.0,8.0,Pulsator,1450,No,Grey,Grey,No
65,LG,13499.0,4.5,P8035SPMZ,Semi,Top,5.0,8.0,Pulsator,1350,No,"Purple, White",Purple,Yes
66,IFB,18399.0,4.3,TL RSS 6.5 kg Aqua,Fully,Top,5.0,6.5,Pulsator,720,No,Grey,Light Grey,No
67,LG,41990.0,4.5,FHT1409ZWL,Fully,Front,5.0,9.0,Tumble,1400,Yes,Silver,Silver,No
68,IFB,22490.0,4.3,TL RGS 7.0 Kg Aqua,Fully,Top,5.0,7.0,Pulsator,720,No,Grey,Grey,No
69,LG,18990.0,4.4,T65SNSF1Z,Fully,Top,5.0,6.5,Pulsator,780,No,Silver,Middle Free Silver,Yes
70,Panasonic,8690.0,4.2,NA-W65E5ARB,Semi,Top,5.0,6.5,Pulsator,1350,No,"White, Blue",Blue,No
71,LG,26990.0,4.4,FHM1065ZDL.ALSQEIL,Fully,Front,5.0,6.5,Tumble,1000,Yes,Silver,Silver,Yes
72,SAMSUNG,30990.0,4.4,WW80J4243MW/TL,Fully,Front,4.975,8.0,Eco Bubble Wash,1200,Yes,White,White,No
73,IFB,18999.0,4.2,TL REWH 6.5 kg Aqua,Fully,Top,5.0,6.5,Pulsator,720,Yes,White,White,Yes
74,Godrej,12490.0,4.2,WT EON 620 A Gp Gr,Fully,Top,4.975,6.2,Pulsator Wash,700,No,Grey,Graphite Grey,No
75,LG,10990.0,4.4,P7010RRAA,Semi,Top,4.975,7.0,Pulsator,1350,No,"Maroon, White",Burgundy,Yes
76,Whirlpool,27490.0,4.1,360 BW PRO-H 9.5 GRAPHITE 10YMW,Fully,Top,5.0,9.5,Hexa Bloom Impeller Wash,740,Yes,Grey,Graphite,No
77,ONIDA,5990.0,4.3,W90G,Washer,,4.975,9.0,Pulsator,780,No,"White, Green",Green,Yes
78,LG,33990.0,4.4,FHM1208ZDL.ALSQEIL,Fully,Front,5.0,8.0,Tumble,1200,Yes,Silver,Silver,Yes
79,LG,15990.0,4.5,P1045SGAZ,Semi,Top,5.0,10.0,Pulsator,1350,No,"Grey, White",Dark Grey,Yes
80,LG,23489.0,4.5,T80SJSF1Z,Fully,Top,5.0,8.0,Pulsator,650,No,Silver,Middle Free Silver,No
81,SAMSUNG,13290.0,4.4,WT85R4000LL/TL,Semi,Top,5.0,8.5,Pulsator,1350,No,"White, Grey",Light Grey,No
82,Whirlpool,23990.0,4.1,360 BW PRO INV H 7.5 GRAPHITE,Fully,Top,5.0,7.5,Impellar,740,Yes,Grey,Graphite,Yes
83,LG,29990.0,4.4,FHM1207ADL,Fully,Front,5.0,7.0,Tumble,1200,Yes,Silver,Silver,Yes
84,IFB,30999.0,4.3,ELENA ZXS,Fully,Front,5.0,6.5,Tumble,1000,Yes,Silver,Silver,No
85,BOSCH,35990.0,4.4,WAJ2426PIN,Fully,Front,5.0,8.0,Tumble Wash,1200,Yes,Silver,Silver,No
86,IFB,36999.0,4.3,Senator WXS,Fully,Front,5.0,8.0,Tumble Wash,1400,Yes,Silver,Silver,Yes
87,LG,63990.0,4.1,THD18STB,Fully,Top,4.975,18.0,Pulsator,780,Yes,Black,Black Stainless silver,Yes
88,Sansui,7490.0,4.3,JSD70S-2020L,Semi,Top,5.0,7.0,Pulsator,1300,No,"Red, White",Red,No
89,MarQ By Flipkart,10990.0,4.3,MQSA10C5G,Semi,Top,5.0,10.0,Pulsator,1350,No,"White, Grey","White, Grey",Yes
90,MarQ By Flipkart,9290.0,4.3,MQSA85H5B,Semi,Top,5.0,8.5,Pulsator,1400,No,"White, Blue","White, Blue",Yes
91,LG,15490.0,4.5,P9040RGAZ,Semi,Top,5.0,9.0,Pulsator,1350,No,"Grey, White",Dark Grey,Yes
92,Whirlpool,16740.0,4.3,WM ROYAL PLUS 6.5 (H) GREY 5YMW,Fully,Top,5.0,6.5,Agitator,740,Yes,Grey,Grey,No
93,LG,8999.0,4.3,P6001RG,Semi,Top,4.975,6.0,Pulsator,1350,No,"Black, White",Dark Grey,No
94,Sansui,8990.0,4.4,JSD85S-2022L,Semi,Top,5.0,8.5,Pulsator,1400,No,"Red, White","White, Red",No
95,LG,41990.0,4.5,FHT1409ZWL,Fully,Front,5.0,9.0,Tumble,1400,Yes,Silver,Silver,No
96,SAMSUNG,8940.0,4.4,WT60R2000LL/TL,Semi,Top,5.0,6.0,Pulsator,680,No,"White, Grey, Purple",VIOLET,No
97,iFFALCON,18490.0,3.9,FWF80-G123061A03,Fully,Front,4.975,8.0,Pulsator,1200,Yes,White,White,No
98,MOTOROLA,21490.0,4.2,105TLIWBM5DG,Fully,Top,5.0,10.5,Pulsator,700,No,Grey,Dark Grey,No
99,LG,10990.0,4.4,P7010RRAA,Semi,Top,4.975,7.0,Pulsator,1350,No,"Maroon, White",Burgundy,Yes
100,IFB,29749.0,4.4,ELENA ZX,Fully,Front,5.0,6.5,Tumble,1000,Yes,White,White,No
101,MarQ By Flipkart,28490.0,4.3,MQFLDG10_1,Fully,Front,4.975,10.2,Pulsator Wash,1500,Yes,Silver,Silver,No
102,MarQ By Flipkart,18490.0,4.4,MQTLBG10,Fully,Top,4.975,10.2,Pulsator Wash,700,No,Grey,Grey,Yes
104,Midea,19490.0,4.3,MWMFL070GBFS,Fully,Front,4.975,7.0,Pulsator,1100,Yes,Grey,Silver,No
105,LG,41990.0,4.5,FHT1409ZWL,Fully,Front,5.0,9.0,Tumble,1400,Yes,Silver,Silver,No
106,Godrej,17490.0,4.6,WTEON AL CLH 70 5.0 ROGR,Fully,Top,5.0,7.0,Pulsator,665,Yes,Grey,Royal Grey,No
107,LG,29990.0,4.4,FHM1207ADL,Fully,Front,5.0,7.0,Tumble,1200,Yes,Silver,Silver,Yes
108,MOTOROLA,16990.0,4.2,80TLHCM5DG,Fully,Top,5.0,8.0,Pulsator,700,Yes,Grey,Dark Grey,No
109,Godrej,14490.0,4.2,WTEON 650 AD 5.0 ROGR,Fully,Top,5.0,6.5,Pulsator,670,No,Grey,Royal Grey,Yes
110,MarQ By Flipkart,10290.0,4.3,MQSA90H5GB,Semi,Top,5.0,9.0,Pulsator Wash,1400,No,"White, Blue",White & Blue,Yes
111,LG,13490.0,4.5,P8030SRAZ,Semi,Top,5.0,8.0,Pulsator,800,No,"White, Maroon",Burgundy,No
112,IFB,29990.0,4.3,Serena Aqua Sx LDT 7.0 KG,Fully,Front,4.975,7.0,Tumble Wash,1000,Yes,Silver,"Silver, Chrome",Yes
113,MOTOROLA,12490.0,4.2,60TLCM5DG,Fully,Top,5.0,6.0,Pulsator,700,No,Grey,Dark Grey,No
114,IFB,33290.0,4.3,SERENA ZXS,Fully,Front,5.0,7.0,Tumble,1000,Yes,Silver,Silver,No
115,LG,63990.0,4.1,THD18STB,Fully,Top,4.975,18.0,Pulsator,780,Yes,Black,Black Stainless silver,Yes
116,IFB,23590.0,4.4,Diva Plus VX,Fully,Front,5.0,6.0,Tumble,800,Yes,White,White,No
117,LG,37490.0,4.4,FHT1408ANL,Fully,Front,5.0,8.0,Tumble,1400,Yes,Silver,Silver,Yes
118,Thomson,14499.0,4.4,TTL7501,Fully,Top,4.975,7.5,Pulsator,720,No,Grey,Grey,Yes
119,LG,15490.0,4.5,P9040RGAZ,Semi,Top,5.0,9.0,Pulsator,1350,No,"Grey, White",Dark Grey,Yes
120,Whirlpool,10390.0,4.4,SUPERB ATOM 70S Silver Grey Dazzle (5YR),Semi,Top,5.0,7.0,Impellar,1400,No,"Black, Grey",Silver Grey Dazzle,No
121,BOSCH,27990.0,4.3,WLJ2006EIN,Fully,Front,5.0,6.5,Tumble,1000,Yes,White,White,No
122,IFB,41299.0,4.4,Executive Plus VX ID,Fully,Front,5.0,8.5,Tumble Wash,1400,Yes,White,White,Yes
123,LG,10990.0,4.4,P7010RRAA,Semi,Top,4.975,7.0,Pulsator,1350,No,"Maroon, White",Burgundy,Yes
124,MarQ By Flipkart,12690.0,4.3,MQTLD65W,Fully,Top,4.975,6.5,Pulsator Wash,700,No,Grey,Light Grey,Yes
125,Midea,18490.0,4.3,MWMFL070HEF,Fully,Front,4.975,7.0,Tumble Wash,1000,Yes,White,White,No
126,SAMSUNG,37499.0,4.4,WW80T504DAB/TL,Fully,Front,5.0,8.0,Tumble Wash,1400,No,Black,Black Caviar,No
127,LG,15990.0,4.5,P1045SGAZ,Semi,Top,5.0,10.0,Pulsator,1350,No,"Grey, White",Dark Grey,Yes
128,SAMSUNG,12400.0,4.3,WT70M3200HB/TL,Semi,Top,5.0,7.0,Pulsator,1300,No,"White, Blue, Grey",Light Gray,No
129,MOTOROLA,31490.0,4.1,80FLIWBM5DG,Fully,Front,5.0,8.0,Pulsator Wash,1200,Yes,Grey,Dark Grey,No
130,LG,27499.0,4.5,T80SJBK1Z,Fully,Top,5.0,8.0,Pulsator,780,No,Black,Black Knight,Yes
131,LG,29990.0,4.4,FHM1207ADL,Fully,Front,5.0,7.0,Tumble,1200,Yes,Silver,Silver,Yes
132,SAMSUNG,37490.0,4.4,WD70M4443JW/TL,Washer,Dryer,4.975,7.0,Tumble,1400,No,White,White,Yes
133,LG,30990.0,4.4,FHM1207ZDL.ALSQEIL,Fully,Front,5.0,7.0,Tumble,1200,Yes,Silver,Silver,Yes
134,SAMSUNG,11099.0,4.4,WT70M3000HP/TL,Semi,Top,5.0,7.0,Pulsator,1300,No,"Red, White, Grey",Light Gray,No
135,LG,13490.0,4.5,P8030SRAZ,Semi,Top,5.0,8.0,Pulsator,800,No,"White, Maroon",Burgundy,No
136,BOSCH,28990.0,4.4,WLJ2026DIN,Fully,Front,5.0,6.5,Tumble Wash,1000,Yes,Grey,Dark Grey,No
137,Whirlpool,14849.0,3.9,Whitemagic Classic 6.5 Kg GenX Fully Automatic Top Load Washing Machine,Fully,Top,5.0,6.5,Impeller Wash,1450,Yes,Grey,Grey,No
138,LG,14690.0,4.5,P8035SRMZ,Semi,Top,5.0,8.0,Pulsator,1350,No,Red,Burgundy,No
139,LG,63990.0,4.1,THD18STB,Fully,Top,4.975,18.0,Pulsator,780,Yes,Black,Black Stainless silver,Yes
140,MarQ By Flipkart,13990.0,4.3,MQFA75J5LG,Fully,Top,5.0,7.5,Pulsator,700,No,Grey,Light Grey,No
141,MOTOROLA,33990.0,4.1,105FLIWBM5DG,Fully,Front,5.0,10.5,Pulsator Wash,1400,Yes,Grey,Dark Grey,No
142,SAMSUNG,32490.0,4.4,WW70T502NAN/TL,Fully,Front,5.0,7.0,Pulsator,1200,No,"Black, Grey",Inox,No
143,LG,15490.0,4.5,P9040RGAZ,Semi,Top,5.0,9.0,Pulsator,1350,No,"Grey, White",Dark Grey,Yes
144,Whirlpool,10399.0,4.4,Ace 7.2 Supreme Plus (Coral Red) (5YR),Semi,Top,4.975,7.2,Impeller Wash,1450,No,"Red, White",Coral Red,No
145,Whirlpool,21740.0,4.2,SW PRO H 7.5 Shiny Grey (EC)10YMW,Fully,Top,5.0,7.5,Agipellar,740,Yes,Grey,Shiny Grey,No
146,SAMSUNG,30990.0,4.4,WW70T502NTW/TL,Fully,Front,5.0,7.0,Pulsator,1200,No,White,White,No
147,LG,10990.0,4.4,P7010RRAA,Semi,Top,4.975,7.0,Pulsator,1350,No,"Maroon, White",Burgundy,Yes
148,Haier,10999.0,4.3,HTW70-186S,Semi,Top,4.975,7.0,Agitator,1300,No,"Black, White",Grey,Yes
149,BOSCH,24990.0,4.1,WLJ2006OIN,Fully,Front,5.0,6.0,Tumble Wash,1000,Yes,White,White,No
150,Midea,17990.0,4.3,MWMFL060HEF,Fully,Front,4.975,6.0,Tumble Wash,1000,Yes,White,White,No
151,LG,15990.0,4.5,P1045SGAZ,Semi,Top,5.0,10.0,Pulsator,1350,No,"Grey, White",Dark Grey,Yes
152,Voltas Beko,8975.0,4.3,WTT70 ALIM,Semi,Top,5.0,7.0,Pulsator,1350,No,Maroon,Burgundy,Yes
153,Hafele,17990.0,4.4,Marina 6010W,Fully,Front,4.975,6.0,Tumble,1000,Yes,White,White,No
154,Galanz,20990.0,4.0,XQG80-F814VE,Fully,Front,4.975,8.0,Tumble,1400,Yes,Silver,Silver,No
155,LG,29990.0,4.4,FHM1207ADL,Fully,Front,5.0,7.0,Tumble,1200,Yes,Silver,Silver,Yes
156,MarQ By Flipkart,9790.0,4.3,MQSA90H5M,Semi,Top,5.0,9.0,Pulsator Wash,1400,No,"White, Grey",White & Grey,Yes
157,MarQ By Flipkart,18990.0,4.3,MQFL60D5S,Fully,Front,5.0,6.0,Tumble Wash,1200,Yes,Silver,Silver,Yes
158,Sansui,13990.0,4.2,SITL72DW,Fully,Top,4.975,7.2,Pulsator Wash,700,No,Grey,Light Grey,Yes
159,LG,13490.0,4.5,P8030SRAZ,Semi,Top,5.0,8.0,Pulsator,800,No,"White, Maroon",Burgundy,No
161,MOTOROLA,38990.0,4.1,105WDIWBMDG,Washer,Dryer,4.975,10.5,Pulsator Wash,1400,Yes,Grey,Dark Grey,No
162,LG,40890.0,4.5,FHT1409ZWS,Fully,Front,5.0,9.0,Tumble,1400,Yes,Grey,STAINLESS SILVER,No
163,LG,63990.0,4.1,THD18STB,Fully,Top,4.975,18.0,Pulsator,780,Yes,Black,Black Stainless silver,Yes
164,TCL,23990.0,4.4,TWF80-G123061A03,Fully,Front,4.975,8.0,Pulsator,1200,Yes,White,White,Yes
165,SAMSUNG,22990.0,3.9,WA70N4261SS/TL,Fully,Top,5.0,7.0,Pulsator,700,No,Silver,Silver,Yes
166,BOSCH,30490.0,4.5,WAJ2416EIN,Fully,Front,5.0,7.0,Tumble,1200,Yes,White,White,No
167,LG,15490.0,4.5,P9040RGAZ,Semi,Top,5.0,9.0,Pulsator,1350,No,"Grey, White",Dark Grey,Yes
168,SAMSUNG,24700.0,4.4,WA10M5120SG/TL,Fully,Top,4.975,10.0,Wobble Pulsator Wash,700,No,Grey,Grey,No
169,Whirlpool,24740.0,4.3,360 BW PRO (540) H 7.5 GRAPHITE 10YMW,Fully,Top,5.0,7.5,Impellar,740,Yes,Grey,Graphite,No
170,LG,28490.0,4.5,FHT1006ZNW.ABWQEIL,Fully,Front,5.0,6.0,Tumble,1000,Yes,White,White,Yes
171,LG,10990.0,4.4,P7010RRAA,Semi,Top,4.975,7.0,Pulsator,1350,No,"Maroon, White",Burgundy,Yes
172,SAMSUNG,27000.0,4.4,WA90T5260BY/TL,Fully,Top,5.0,9.0,Pulsator,700,No,Grey,Lavender Grey,No
173,SAMSUNG,31470.0,3.3,WA10T5260BV/TL,Fully,Top,5.0,10.0,Pulsator,770,No,Black,Black Caviar,No
174,LG,32990.0,4.5,T10SJSS1Z,Fully,Top,5.0,10.0,Pulsator,780,No,Silver,Stainless Silver,No
175,LG,15990.0,4.5,P1045SGAZ,Semi,Top,5.0,10.0,Pulsator,1350,No,"Grey, White",Dark Grey,Yes
176,CANDY,7590.0,4.2,CTT65187W,Semi,Top,4.975,6.5,Cross Pulsator,1300,No,"White, Blue",White,Yes
177,IFB,67490.0,5.0,Executive ZXS,Washer,Dryer,5.0,8.5,Tumble,1400,Yes,"Black, Silver",Silver,No
178,SAMSUNG,36520.0,4.4,WW70T502DAX/TL,Fully,Front,5.0,7.0,Tumble Wash,1200,No,Grey,Inox,No
179,LG,29990.0,4.4,FHM1207ADL,Fully,Front,5.0,7.0,Tumble,1200,Yes,Silver,Silver,Yes
180,SAMSUNG,14990.0,4.3,WA65A4022NS/TL,Fully,Top,4.975,6.5,Pulsator,680,No,Grey,Imperial Silver,No
181,LG,23990.0,4.4,T80SPSF2Z,Fully,Top,5.0,8.0,Pulsator,780,No,Silver,Middle Free Silver,Yes
182,Whirlpool,14740.0,4.3,ACE XL 8.5 GREY DAZZLE (10YR),Semi,Top,5.0,8.5,Impellar,1400,No,Grey,GREY DAZZLE,No
183,LG,13490.0,4.5,P8030SRAZ,Semi,Top,5.0,8.0,Pulsator,800,No,"White, Maroon",Burgundy,No
184,Whirlpool,13099.0,4.4,ACE 8.0 TRB DRY WINE DAZZLE(5YR),Semi,Top,5.0,8.0,Impellar,1450,No,Maroon,Wine Dazzle,No
185,MOTOROLA,23490.0,4.2,70FLIAM5W,Fully,Front,5.0,7.0,Tumble Wash,1400,Yes,White,White,No
186,Godrej,13690.0,4.2,WTEON 600 AD 5.0 ROGR,Fully,Top,5.0,6.0,Pulsator,670,No,Grey,Royal Grey,Yes
187,LG,63990.0,4.1,THD18STB,Fully,Top,4.975,18.0,Pulsator,780,Yes,Black,Black Stainless silver,Yes
188,Panasonic,21490.0,4.3,NA-F80LF1HRB,Fully,Top,5.0,8.0,Pulastor,680,No,Grey,Grey,No
189,SAMSUNG,32490.0,4.4,WW70T4020CX/TL,Fully,Front,5.0,7.0,Pulsator,1200,No,Grey,Inox,No
190,Sansui,7790.0,4.3,SISA65A5R,Semi,Top,5.0,6.5,Pulsator,1300,No,"White, Maroon","White, Burgundy",No
191,LG,15490.0,4.5,P9040RGAZ,Semi,Top,5.0,9.0,Pulsator,1350,No,"Grey, White",Dark Grey,Yes
192,SAMSUNG,21190.0,4.4,WW60M206LMW/TL,Fully,Front,4.975,6.0,Tumble Wash,1000,Yes,White,White,No
193,BOSCH,26950.0,4.5,WLJ2026SIN,Fully,Front,4.975,6.0,Pulsator,1000,No,"Black, Silver",Silver,No
194,Godrej,15290.0,4.5,WS EDGE NX 1020 CPBR,Semi,Top,4.975,10.2,Pulsator Wash,1450,No,"Gold, White",Rose Gold,Yes
195,LG,10990.0,4.4,P7010RRAA,Semi,Top,4.975,7.0,Pulsator,1350,No,"Maroon, White",Burgundy,Yes
196,SAMSUNG,14100.0,4.3,WA65A4002GS,Fully,Top,4.975,6.5,Pulsator,680,No,Silver,Silver,No
197,IFB,19290.0,4.3,TL-RDS/RDSS 6.5 kg Aqua,Fully,Top,5.0,6.5,Triadic Pulsator Wash,720,No,Silver,Silver,No
198,Voltas Beko,11790.0,4.4,WTT85DBLT,Semi,Top,5.0,8.5,Pulsator,1300,No,"White, Blue",Sky Blue,No
199,LG,15990.0,4.5,P1045SGAZ,Semi,Top,5.0,10.0,Pulsator,1350,No,"Grey, White",Dark Grey,Yes
200,Whirlpool,18371.0,4.1,Stainwash Deep Clean (SC) 7.5 Grey 10YMW,Fully,Top,5.0,7.5,Agipellar,740,No,Grey,Grey,No
201,IFB,37000.0,3.5,senator WSS steam,Fully,Front,5.0,8.0,Agitator,1400,Yes,Grey,Grey,No
202,MOTOROLA,16490.0,4.2,75TLHCM5DG,Fully,Top,5.0,7.5,Pulsator,700,Yes,Grey,Dark Grey,No
203,LG,29990.0,4.4,FHM1207ADL,Fully,Front,5.0,7.0,Tumble,1200,Yes,Silver,Silver,Yes
204,LG,21185.0,4.3,T70SJSF1Z,Fully,Top,5.0,7.0,Pulsator,740,No,Silver,Middle Free Silver,Yes
205,SAMSUNG,11690.0,4.6,WT70M3200HL/TL,Semi,Top,5.0,7.0,Pulsator,1300,No,"White, Grey, Purple",Light Grey,No
206,SAMSUNG,13990.0,4.4,WT85R4200RR/TL,Semi,Top,5.0,8.5,Pulsator,1350,No,"Red, Grey",Light Grey,Yes
207,LG,13490.0,4.5,P8030SRAZ,Semi,Top,5.0,8.0,Pulsator,800,No,"White, Maroon",Burgundy,No
208,TCL,16490.0,3.5,TWA85-F307GMG,Fully,Top,4.975,8.5,Pulsator,800,No,Grey,Grey,Yes
209,MarQ By Flipkart,5790.0,4.2,MQSW75C5GN,Washer,,4.975,7.5,Combi Pulsator Wash,1350,No,"White, Green","White, Green",No
210,SAMSUNG,27490.0,4.4,WW65R20GLSS/TL,Fully,Front,5.0,6.5,Pulsator,1000,Yes,Silver,DA Silver,No
211,LG,63990.0,4.1,THD18STB,Fully,Top,4.975,18.0,Pulsator,780,Yes,Black,Black Stainless silver,Yes
212,Whirlpool,17240.0,4.2,Stainwash Ultra (N) 6.5 GREY 10 YMW,Fully,Top,5.0,6.5,Spa Wash with 3D Scrub Technology Wash,740,Yes,Grey,Full Body Grey,No
213,Whirlpool,12799.0,4.4,ACE 8.0 SUP SOAK (CORAL PURPLE)(5 YR),Semi,Top,4.975,8.0,Impeller Wash,1400,No,Purple,Coral Purple,No
214,SAMSUNG,37990.0,4.0,WW80T504DAN/TL,Fully,Front,5.0,8.0,Tumble Wash,1400,No,Grey,Inox,No
215,LG,15490.0,4.5,P9040RGAZ,Semi,Top,5.0,9.0,Pulsator,1350,No,"Grey, White",Dark Grey,Yes
216,Whirlpool,11290.0,4.4,Ace 7.5 sup soak (coral purple) (5 yr),Semi,Top,4.975,7.5,Impeller Wash,1400,No,Purple,Coral Purple,No
217,SAMSUNG,18990.0,4.4,WA75A4022FS/TL,Fully,Top,4.975,7.5,Pulsator,680,No,Silver,Imperial Silver,No
218,Whirlpool,29990.0,4.1,Fresh Care 8212,Fully,Front,4.975,8.0,Tumble Wash,1200,No,White,White,No
219,LG,10990.0,4.4,P7010RRAA,Semi,Top,4.975,7.0,Pulsator,1350,No,"Maroon, White",Burgundy,Yes
220,Whirlpool,13588.0,4.4,ACE 8.5 TRB DRY PURPLE DAZZLE (5YR),Semi,Top,5.0,8.5,Impellar,1450,No,Purple,Purple Dazzle,No
221,Godrej,16990.0,4.2,WTEON ALR C 75 5.0 ROGR,Fully,Top,5.0,7.5,Pulsator,665,No,Grey,Royal Grey,Yes
222,MOTOROLA,14990.0,4.2,65TLHCM5DG,Fully,Top,5.0,6.5,Pulsator,700,Yes,Grey,Dark Grey,No
223,LG,15990.0,4.5,P1045SGAZ,Semi,Top,5.0,10.0,Pulsator,1350,No,"Grey, White",Dark Grey,Yes
224,IFB,26090.0,4.2,NEODIVA-VX,Fully,Front,5.0,6.0,Tumble,800,Yes,White,White,No
225,SAMSUNG,44000.0,4.2,WW90T604DLN/TL,Fully,Front,5.0,9.0,Tumble Wash,1400,No,Grey,Inox,No
226,Haier,14760.0,5.0,HTW95-178,Semi,Top,4.975,9.5,Pulsator,1300,No,Multicolor,Blue Floral,No
227,LG,29990.0,4.4,FHM1207ADL,Fully,Front,5.0,7.0,Tumble,1200,Yes,Silver,Silver,Yes
228,LG,24299.0,4.4,T70SJBK1Z,Fully,Top,5.0,7.0,Pulsator,780,No,Black,Black Knight,Yes
229,Godrej,9290.0,4.3,WS AXIS 7.0 WNRD PN2 T,Semi,Top,4.975,7.0,Pulsator,1440,No,"Red, White",Wine Red,No
230,Whirlpool,18679.0,4.3,Stainwash Deep Clean SC 10Y Grey,Fully,Top,5.0,7.5,Pulsator,740,No,Grey,Grey,No
231,LG,13490.0,4.5,P8030SRAZ,Semi,Top,5.0,8.0,Pulsator,800,No,"White, Maroon",Burgundy,No
232,Midea,16990.0,4.2,MA200W80/G-IN,Fully,Top,5.0,8.0,Pulsator,680,No,Grey,Dark Grey,Yes
233,BOSCH,19200.0,4.3,WOE704W1IN,Fully,Top,4.975,7.0,Pulsator,680,No,"White, Grey",White,No
234,BOSCH,36990.0,4.5,WAT2846WIN,Fully,Front,4.975,8.0,Tumble Wash,1400,No,White,White,No
235,LG,63990.0,4.1,THD18STB,Fully,Top,4.975,18.0,Pulsator,780,Yes,Black,Black Stainless silver,Yes
236,LG,37990.0,4.5,FHT1207ZWS,Fully,Front,5.0,7.0,Tumble,1200,Yes,Grey,Stainless Silver,No
237,SAMSUNG,55000.0,2.6,WD80T604DBX/TL,Washer,Dryer,4.975,8.0,Tumble Wash,1400,No,Grey,Inox,No
238,Godrej,14590.0,3.0,WS EDGE 8.5 TB3 M,Semi,Top,4.975,8.5,Pulsator,1440,No,"Red, White",Wine,No
239,LG,15490.0,4.5,P9040RGAZ,Semi,Top,5.0,9.0,Pulsator,1350,No,"Grey, White",Dark Grey,Yes
240,MarQ By Flipkart,14990.0,4.0,MQFLDG60,Fully,Front,4.975,6.0,Pulsator Wash,1000,Yes,White,White,No
241,LG,21490.0,4.2,T70SPSF2Z,Fully,Top,5.0,7.0,Pulsator,650,No,Silver,Middle Free Sliver,No
242,LG,37990.0,4.5,FHT1207ZWL,Fully,Front,5.0,7.0,Tumble,1200,Yes,Silver,Sliver,No
243,LG,10990.0,4.4,P7010RRAA,Semi,Top,4.975,7.0,Pulsator,1350,No,"Maroon, White",Burgundy,Yes
244,LG,18799.0,4.3,T65SPSF2Z,Fully,Top,5.0,6.5,Pulsator,780,No,Silver,Middle Free Silver,Yes
245,IFB,30000.0,4.0,TL-SDG 9.5 Kg Aqua,Fully,Top,5.0,9.5,Triadic Pulsator Wash,720,No,Grey,Graphite Grey,Yes
246,SAMSUNG,38900.0,4.3,WW80J42G0BX/TL,Fully,Front,5.0,8.0,Tumble,1200,No,Grey,Inox,No
247,LG,15990.0,4.5,P1045SGAZ,Semi,Top,5.0,10.0,Pulsator,1350,No,"Grey, White",Dark Grey,Yes
248,Whirlpool,9990.0,4.4,Superb Atom 62I - Dark Grey (5YR),Semi,Top,4.975,6.2,Impeller Wash,1450,No,Grey,Dark Grey,No
249,Whirlpool,29990.0,4.1,Fresh Care 8212,Fully,Front,4.975,8.0,Tumble Wash,1200,No,White,White,No
250,Godrej,15690.0,3.5,WS EDGE DIGI 85 5.0 PB2 M GPGR,Semi,Top,5.0,8.5,Pulsator,1450,Yes,"Black, White",Graphite Grey,No
251,LG,29990.0,4.4,FHM1207ADL,Fully,Front,5.0,7.0,Tumble,1200,Yes,Silver,Silver,Yes
252,Haier,15420.0,4.3,HWM70-707NZP,Fully,Top,4.975,7.0,Tumble Wash,1000,No,"Grey, Maroon",Maroon,No
253,Panasonic,25490.0,4.8,NA-F80A5HRB,Fully,Top,4.975,8.0,Active Foam Wash,700,No,"White, Grey",Light Grey,No
254,Whirlpool,13645.0,4.4,ACE 8.0 TRB DRY PURPLE DAZZLE,Semi,Top,5.0,8.0,Impellar,1450,No,Purple,PURPLE DAZZLE,No
255,LG,13490.0,4.5,P8030SRAZ,Semi,Top,5.0,8.0,Pulsator,800,No,"White, Maroon",Burgundy,No
256,Galanz,20890.0,4.0,XQG70-F712DE,Fully,Front,4.975,7.0,Tumble,1200,Yes,Silver,Silver,No
257,Galanz,20990.0,4.0,XQG70-F712DE,Fully,Front,4.975,7.0,Tumble,1200,Yes,White,White,No
258,Haier,28490.0,4.9,HW70-IM12826TNZP,Fully,Front,4.975,7.0,Tumble Wash,1200,No,Grey,Titanium Grey,Yes
259,LG,63990.0,4.1,THD18STB,Fully,Top,4.975,18.0,Pulsator,780,Yes,Black,Black Stainless silver,Yes
